dzip_name,dem_path,dem_size,dzip_size,enc_zstd_size,enc_gz_size
NR/lf4_012.dz,lf4_012.dem,652507,53220,39634,49508
NR/lf4_013.dz,lf4_013.dem,302711,32219,28796,35104
NR/lou_036.dz,lou_036.dem,590930,62937,46644,57936
NR/lou_038.dz,lou_038.dem,870474,76069,64967,80458
NR/lou_041.dz,lou_041.dem,883115,75696,65990,82005
NR/lw_040.dz,lw_040.dem,711488,73257,51903,63123
NR/lw_053.dz,lw_053.dem,1033332,115924,96380,117026
NR/lw_054.dz,lw_054.dem,578282,90281,84562,99105
NR/lw_058.dz,lw_058.dem,636180,97468,91492,107449
NR/m10b_144.dz,m10b_144.dem,2078638,202116,155514,189880
NR/m10b_203.dz,m10b_203.dem,2175935,232185,194572,236949
NR/m10b_212.dz,m10b_212.dem,1705434,216245,196384,234036
NR/m10b_412.dz,m10b_412.dem,1974098,267033,242885,282456
NR/m10_229.dz,m10_229.dem,3256529,190789,139998,174769
NR/m10_240.dz,m10_240.dem,3487542,197958,142601,178763
NR/m10_357.dz,m10_357.dem,3906197,257973,201350,251203
NR/m10_614.dz,m10_614.dem,2586667,273573,245867,288564
NR/m1_010.dz,m1_010.dem,297193,26136,22783,28697
NR/m1_015.dz,m1_015.dem,262460,32168,27452,34856
NR/m1_016.dz,m1_016.dem,93872,20541,20113,23309
NR/m1_035.dz,m1_035.dem,677451,91136,74869,91538
NR/m1_036.dz,m1_036.dem,438189,72924,59604,71542
NR/m1_038.dz,m1_038.dem,537563,86218,75758,90170
NR/m2_009.dz,m2_009.dem,343604,32761,26753,31676
NR/m2_010.dz,m2_010.dem,237890,33421,30834,36017
NR/m2_011.dz,m2_011.dem,449177,58783,50188,58911
NR/m2_013.dz,m2_013.dem,278719,39816,36761,42594
NR/m3_112.dz,m3_112.dem,1954205,160303,118580,148279
NR/m3_117.dz,m3_117.dem,1120286,146128,130029,155388
NR/m3_120.dz,m3_120.dem,1806128,178335,151149,187272
NR/m4_131.dz,m4_131.dem,2468819,207278,147385,183995
NR/m4_134.dz,m4_134.dem,2509273,217154,159821,198075
NR/m4_135.dz,m4_135.dem,1371851,193782,179574,214876
NR/m4_147.dz,m4_147.dem,1398228,202767,186279,221341
NR/m4_158.dz,m4_158.dem,786130,149737,142009,162700
NR/m5_121.dz,m5_121.dem,2172243,134800,86877,114869
NR/m5_122.dz,m5_122.dem,1112345,106396,89134,111960
NR/m5_127.dz,m5_127.dem,1694771,159296,134585,167592
NR/m5_134.dz,m5_134.dem,1512614,115231,93299,120379
NR/m6_133.dz,m6_133.dem,1815577,142528,107960,135453
NR/m6_141.dz,m6_141.dem,1352760,145736,132414,160016
NR/m6_207.dz,m6_207.dem,1826792,173942,148548,183218
NR/m6_215.dz,m6_215.dem,2139001,189923,162202,202824
NR/m7_148.dz,m7_148.dem,1670309,161807,115315,144398
NR/m7_151.dz,m7_151.dem,1281888,154652,133723,161407
NR/m7_156.dz,m7_156.dem,1583412,165541,138254,169347
NR/m7_217.dz,m7_217.dem,1885934,174835,145123,181705
NR/m8b_017.dz,m8b_017.dem,579737,48963,40350,49648
NR/m8b_019.dz,m8b_019.dem,700822,53963,43018,53369
NR/m8b_020.dz,m8b_020.dem,666111,47005,42326,52202
NR/m8b_022.dz,m8b_022.dem,366524,52109,47210,56182
NR/m8b_027.dz,m8b_027.dem,236772,36528,35269,39776
NR/m8b_100.dz,m8b_100.dem,1050947,94405,84616,105351
NR/m8b_102.dz,m8b_102.dem,1154811,98305,87943,108454
NR/m8_347.dz,m8_347.dem,3721070,340716,238464,297031
NR/m8_425.dz,m8_425.dem,4481018,392879,277846,351851
NR/m8_439.dz,m8_439.dem,4064579,409110,343056,425141
NR/m8_509.dz,m8_509.dem,1240340,258210,243336,276521
NR/m8_519.dz,m8_519.dem,1792273,283498,262452,303941
NR/m9a_137.dz,m9a_137.dem,2637440,206679,147554,183494
NR/m9a_144.dz,m9a_144.dem,2330170,215334,154058,188275
NR/m9a_200.dz,m9a_200.dem,1340413,205972,189484,221565
NR/m9a_218.dz,m9a_218.dem,841779,161305,154690,175041
NR/m9b_246.dz,m9b_246.dem,3461253,379658,253518,309833
NR/m9b_332.dz,m9b_332.dem,3426461,419113,326759,397218
NR/m9b_420.dz,m9b_420.dem,1752478,334493,310735,358601
NR/m9c_208.dz,m9c_208.dem,2556130,228619,164764,201069
NR/m9c_230.dz,m9c_230.dem,2627676,234748,200385,247542
NR/m9c_346.dz,m9c_346.dem,1889176,202405,185146,220885
NR/m9d_1018.dz,m9d_1018.dem,5049916,508961,454469,543836
NR/m9d_539.dz,m9d_539.dem,9661657,516684,343719,447911
NR/m9d_654.dz,m9d_654.dem,8024253,540402,466981,595911
NR/m9d_749.dz,m9d_749.dem,6264079,508316,437597,545321
NR/m9d_912.dz,m9d_912.dem,11381306,704892,595232,765617
NR/m9_1054.dz,m9_1054.dem,17701461,1201290,768322,1000948
NR/mach_126.dz,mach_126.dem,2463471,137070,107117,139942
NR/marcher_712.dz,marcher_712.dem,19734095,1538308,965622,1238214
NR/mbb7_009.dz,mbb7_009.dem,108479,14496,14049,16609
NR/mbb7_010.dz,mbb7_010.dem,161840,14674,14026,16581
NR/mbb7_011.dz,mbb7_011.dem,42980,9719,10635,11650
NR/mbb7_016.dz,mbb7_016.dem,113074,23600,22489,25461
NR/mcm_036.dz,mcm_036.dem,660552,55884,45013,55564
NR/mcm_040.dz,mcm_040.dem,908960,57295,47356,59727
NR/mcom_050.dz,mcom_050.dem,968842,108975,90996,111080
NR/menk_137.dz,menk_137.dem,2715227,223818,155604,200031
NR/mis_008.dz,mis_008.dem,192189,15270,13389,16268
NR/mis_011.dz,mis_011.dem,768493,27581,22577,30690
NR/mpal_107.dz,mpal_107.dem,441397,77803,66830,76472
NR/mpal_109.dz,mpal_109.dem,534952,71331,61107,71117
NR/mpal_129.dz,mpal_129.dem,558251,85490,77462,89405
NR/mpi2_004.dz,mpi2_004.dem,71749,10639,10883,12099
NR/mpi2_047.dz,mpi2_047.dem,1704082,60843,50736,68151
NR/mpi_004.dz,mpi_004.dem,46375,7726,8491,9354
NR/mpi_005.dz,mpi_005.dem,67997,7976,8937,10180
NR/mpi_057.dz,mpi_057.dem,1226219,106301,85913,102591
NR/mpi_106.dz,mpi_106.dem,1189092,113025,90734,110083
NR/mrt_027.dz,mrt_027.dem,283469,39679,32734,38817
NR/mrt_028.dz,mrt_028.dem,287731,38446,32018,37880
NR/mrt_029.dz,mrt_029.dem,417226,40955,32531,39302
NR/mrt_031.dz,mrt_031.dem,251146,37531,35289,41143
NR/mrt_032.dz,mrt_032.dem,361822,41328,32272,38125
NR/mrt_056.dz,mrt_056.dem,333446,42739,36637,42930
NR/mscr_012.dz,mscr_012.dem,506947,37175,29812,38286
NR/mscr_018.dz,mscr_018.dem,713404,30228,26862,36316
NR/mscr_021.dz,mscr_021.dem,418751,41093,35782,44247
NR/mscr_024.dz,mscr_024.dem,368169,37556,32706,40234
NR/msrj_011.dz,msrj_011.dem,241471,22401,18126,21327
NR/msrj_013.dz,msrj_013.dem,316833,31053,25613,31320
NR/n100_141.dz,n100_141.dem,3493313,161564,112569,155354
NR/n100_155.dz,n100_155.dem,3578628,166921,124085,166866
NR/n100_225.dz,n100_225.dem,4773910,215659,157743,214273
NR/n3b_054.dz,n3b_054.dem,1571587,98917,78939,102493
NR/n3_133.dz,n3_133.dem,2322846,191687,134809,168532
NR/n3_140.dz,n3_140.dem,2502117,195116,140297,175894
NR/n3_145.dz,n3_145.dem,2862139,215110,152137,195302
NR/n4_107.dz,n4_107.dem,1567567,104279,67907,89037
NR/n6_019.dz,n6_019.dem,333902,24628,22193,27528
NR/n9_112.dz,n9_112.dem,929412,125645,118801,141681
NR/nas_137.dz,nas_137.dem,1656074,171175,125383,151625
NR/nas_145.dz,nas_145.dem,1394530,169463,128960,155069
NR/nbh_010.dz,nbh_010.dem,56562,8511,7549,8397
NR/nbh_011.dz,nbh_011.dem,93665,11535,10129,11554
NR/nbh_015.dz,nbh_015.dem,72896,12373,11291,12666
NR/nbh_024.dz,nbh_024.dem,227469,19710,16364,19146
NR/ne10_008.dz,ne10_008.dem,328937,17050,16341,20895
NR/ne10_009.dz,ne10_009.dem,301028,23736,19442,24884
NR/ne10_010.dz,ne10_010.dem,340315,27074,21798,28362
NR/ne10_011.dz,ne10_011.dem,177662,20690,19821,23958
NR/ne16_044.dz,ne16_044.dem,934763,51876,41369,55592
